date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:16	149598/149598	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:38%20GMT	http://gpgproperty.com.au/Index/News/12	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News/12.html	(from http://gpgproperty.com.au/Index/Home)
01:36:16	149598/149598	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:38%20GMT	http://gpgproperty.com.au/Index/News/11	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News/11.html	(from http://gpgproperty.com.au/Index/Home)
01:36:17	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.2f.delayed	(from http://gpgproperty.com.au/Index/Catalog/1)
01:36:17	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.30.delayed	(from http://gpgproperty.com.au/Index/SubCatalog/1)
01:36:17	149598/149598	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:39%20GMT	http://gpgproperty.com.au/Index/News/10	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/News/10.html	(from http://gpgproperty.com.au/Index/Home)
01:36:17	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.31.delayed	(from http://gpgproperty.com.au/Index/SubCatalog/2)
01:36:17	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.32.delayed	(from http://gpgproperty.com.au/Index/Catalog/2)
01:36:17	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.33.delayed	(from http://gpgproperty.com.au/Index/Catalog/3)
01:36:17	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.34.delayed	(from http://gpgproperty.com.au/Index/Catalog/4)
01:36:18	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.35.delayed	(from http://gpgproperty.com.au/Index/SubCatalog/3)
